"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
2439,Sangareddy,Zaheerabad,Zaheerabad Municipality,19,910,920,0,1830,Zaheerabad,,SC)
2440,Sangareddy,Zaheerabad,Zaheerabad Municipality,20,1283,1234,0,2517,Zaheerabad,,SC)
2441,Sangareddy,Zaheerabad,Zaheerabad Municipality,21,1191,1208,0,2399,Zaheerabad,,SC)
2442,Sangareddy,Zaheerabad,Zaheerabad Municipality,22,1135,1104,0,2239,Zaheerabad,,SC)
2443,Sangareddy,Zaheerabad,Zaheerabad Municipality,23,1025,995,0,2020,Zaheerabad,,SC)
2444,Sangareddy,Zaheerabad,Zaheerabad Municipality,24,1200,1253,0,2453,Zaheerabad,,SC)
2445,Sangareddy,Zaheerabad,Zaheerabad Municipality,25,911,905,0,1816,Zaheerabad,,SC)
2446,Sangareddy,Zaheerabad,Zaheerabad Municipality,26,916,1063,0,1979,Zaheerabad,,SC)
2447,Sangareddy,Zaheerabad,Zaheerabad Municipality,27,976,904,0,1880,Zaheerabad,,SC)
2448,Sangareddy,Zaheerabad,Zaheerabad Municipality,28,1314,1327,0,2641,Zaheerabad,,SC)
2449,Sangareddy,Zaheerabad,Zaheerabad Municipality,29,1025,1018,0,2043,Zaheerabad,,SC)
2450,Sangareddy,Zaheerabad,Zaheerabad Municipality,30,916,921,0,1837,Zaheerabad,,SC)
2451,Sangareddy,Zaheerabad,Zaheerabad Municipality,31,940,972,0,1912,Zaheerabad,,SC)
2452,Sangareddy,Zaheerabad,Zaheerabad Municipality,32,1218,1099,0,2317,Zaheerabad,,SC)
2453,Sangareddy,Zaheerabad,Zaheerabad Municipality,33,1075,1053,0,2128,Zaheerabad,,SC)
2454,Sangareddy,Zaheerabad,Zaheerabad Municipality,34,999,978,0,1977,Zaheerabad,,SC)
2455,Sangareddy,Zaheerabad,Zaheerabad Municipality,35,1173,1206,0,2379,Zaheerabad,,SC)
2456,Sangareddy,Zaheerabad,Zaheerabad Municipality,36,1015,1133,0,2148,Zaheerabad,,SC)
2457,Sangareddy,Zaheerabad,Zaheerabad Municipality,37,1015,1079,0,2094,Zaheerabad,,SC)
2458,Siddipet,Jangaon,Cheriyal Municipality,1,544,592,0,1136,Bhongir,,
2459,Siddipet,Jangaon,Cheriyal Municipality,2,560,608,0,1168,Bhongir,,
2460,Siddipet,Jangaon,Cheriyal Municipality,3,497,535,0,1032,Bhongir,,
2461,Siddipet,Jangaon,Cheriyal Municipality,4,807,823,0,1630,Bhongir,,
2462,Siddipet,Jangaon,Cheriyal Municipality,5,601,664,0,1265,Bhongir,,
2463,Siddipet,Jangaon,Cheriyal Municipality,6,597,598,0,1195,Bhongir,,
2464,Siddipet,Jangaon,Cheriyal Municipality,7,515,518,0,1033,Bhongir,,
2465,Siddipet,Jangaon,Cheriyal Municipality,8,546,580,0,1126,Bhongir,,
2466,Siddipet,Jangaon,Cheriyal Municipality,9,489,573,0,1062,Bhongir,,
2467,Siddipet,Jangaon,Cheriyal Municipality,10,466,511,0,977,Bhongir,,
2468,Siddipet,Jangaon,Cheriyal Municipality,11,523,567,0,1090,Bhongir,,
2469,Siddipet,Jangaon,Cheriyal Municipality,12,513,550,0,1063,Bhongir,,
2470,Siddipet,Dubbak,Dubbak Municipality,1,593,608,0,1201,Medak,,
2471,Siddipet,Dubbak,Dubbak Municipality,2,490,513,0,1003,Medak,,
2472,Siddipet,Dubbak,Dubbak Municipality,3,522,554,0,1076,Medak,,
2473,Siddipet,Dubbak,Dubbak Municipality,4,534,580,0,1114,Medak,,
2474,Siddipet,Dubbak,Dubbak Municipality,5,496,508,0,1004,Medak,,
2475,Siddipet,Dubbak,Dubbak Municipality,6,510,578,0,1088,Medak,,
2476,Siddipet,Dubbak,Dubbak Municipality,7,506,567,0,1073,Medak,,
2477,Siddipet,Dubbak,Dubbak Municipality,8,477,537,0,1014,Medak,,
2478,Siddipet,Dubbak,Dubbak Municipality,9,517,556,0,1073,Medak,,
2479,Siddipet,Dubbak,Dubbak Municipality,10,544,572,0,1116,Medak,,
2480,Siddipet,Dubbak,Dubbak Municipality,11,532,617,0,1149,Medak,,
2481,Siddipet,Dubbak,Dubbak Municipality,12,550,607,0,1157,Medak,,
2482,Siddipet,Dubbak,Dubbak Municipality,13,481,534,0,1015,Medak,,
2483,Siddipet,Dubbak,Dubbak Municipality,14,505,533,0,1038,Medak,,
2484,Siddipet,Dubbak,Dubbak Municipality,15,514,587,0,1101,Medak,,
2485,Siddipet,Dubbak,Dubbak Municipality,16,509,593,0,1102,Medak,,
2486,Siddipet,Dubbak,Dubbak Municipality,17,464,479,0,943,Medak,,
2487,Siddipet,Dubbak,Dubbak Municipality,18,529,577,0,1106,Medak,,
2488,Siddipet,Dubbak,Dubbak Municipality,19,451,474,0,925,Medak,,
2489,Siddipet,Dubbak,Dubbak Municipality,20,500,543,0,1043,Medak,,
2490,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,1,1078,1144,0,2222,Medak,,
2491,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,2,1268,1324,0,2592,Medak,,
2492,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,3,1281,1293,0,2574,Medak,,
2493,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,4,1222,1280,0,2502,Medak,,
2494,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,5,1282,1260,1,2543,Medak,,
2495,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,6,1239,1296,0,2535,Medak,,
2496,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,7,1097,1156,0,2253,Medak,,
2497,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,8,956,1090,0,2046,Medak,,
2498,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,9,1018,1070,0,2088,Medak,,
2499,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,10,962,1060,0,2022,Medak,,
2500,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,11,1076,1116,0,2192,Medak,,
2501,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,12,990,1054,0,2044,Medak,,
2502,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,13,1228,1265,0,2493,Medak,,
2503,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,14,1253,1253,0,2506,Medak,,
2504,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,15,1234,1292,0,2526,Medak,,
2505,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,16,1163,1217,0,2380,Medak,,
2506,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,17,1104,1212,0,2316,Medak,,
2507,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,18,1061,1190,0,2251,Medak,,
2508,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,19,1068,1176,0,2244,Medak,,
2509,Siddipet,Gajwel,Gajwel-Pragnapur Municipality,20,1158,1253,0,2411,Medak,,
2510,Siddipet,Husnabad,Husnabad Municipality,1,464,502,4,970,Karimnagar,,
2511,Siddipet,Husnabad,Husnabad Municipality,2,456,506,0,962,Karimnagar,,
2512,Siddipet,Husnabad,Husnabad Municipality,3,527,530,0,1057,Karimnagar,,
2513,Siddipet,Husnabad,Husnabad Municipality,4,516,533,0,1049,Karimnagar,,
2514,Siddipet,Husnabad,Husnabad Municipality,5,541,569,0,1110,Karimnagar,,
2515,Siddipet,Husnabad,Husnabad Municipality,6,499,506,0,1005,Karimnagar,,
2516,Siddipet,Husnabad,Husnabad Municipality,7,464,538,0,1002,Karimnagar,,
2517,Siddipet,Husnabad,Husnabad Municipality,8,473,444,0,917,Karimnagar,,
2518,Siddipet,Husnabad,Husnabad Municipality,9,404,466,0,870,Karimnagar,,
2519,Siddipet,Husnabad,Husnabad Municipality,10,469,476,0,945,Karimnagar,,
2520,Siddipet,Husnabad,Husnabad Municipality,11,444,475,1,920,Karimnagar,,
2521,Siddipet,Husnabad,Husnabad Municipality,12,451,497,0,948,Karimnagar,,
2522,Siddipet,Husnabad,Husnabad Municipality,13,402,458,0,860,Karimnagar,,
2523,Siddipet,Husnabad,Husnabad Municipality,14,545,540,0,1085,Karimnagar,,
2524,Siddipet,Husnabad,Husnabad Municipality,15,471,488,1,960,Karimnagar,,
2525,Siddipet,Husnabad,Husnabad Municipality,16,430,432,0,862,Karimnagar,,
2526,Siddipet,Husnabad,Husnabad Municipality,17,468,466,0,934,Karimnagar,,
2527,Siddipet,Husnabad,Husnabad Municipality,18,458,470,0,928,Karimnagar,,
2528,Siddipet,Husnabad,Husnabad Municipality,19,415,465,0,880,Karimnagar,,
2529,Siddipet,Husnabad,Husnabad Municipality,20,451,512,0,963,Karimnagar,,
2530,Suryapet,Huzurnagar,Huzurnagar Municipality,1,470,530,3,1003,Nalgonda,,
2531,Suryapet,Huzurnagar,Huzurnagar Municipality,2,515,617,0,1132,Nalgonda,,
2532,Suryapet,Huzurnagar,Huzurnagar Municipality,3,541,588,0,1129,Nalgonda,,
2533,Suryapet,Huzurnagar,Huzurnagar Municipality,4,540,564,0,1104,Nalgonda,,
2534,Suryapet,Huzurnagar,Huzurnagar Municipality,5,469,535,0,1004,Nalgonda,,
2535,Suryapet,Huzurnagar,Huzurnagar Municipality,6,463,515,0,978,Nalgonda,,
2536,Suryapet,Huzurnagar,Huzurnagar Municipality,7,475,560,0,1035,Nalgonda,,
2537,Suryapet,Huzurnagar,Huzurnagar Municipality,8,479,538,0,1017,Nalgonda,,
2538,Suryapet,Huzurnagar,Huzurnagar Municipality,9,469,545,0,1014,Nalgonda,,
2539,Suryapet,Huzurnagar,Huzurnagar Municipality,10,493,537,0,1030,Nalgonda,,
2540,Suryapet,Huzurnagar,Huzurnagar Municipality,11,488,524,0,1012,Nalgonda,,
2541,Suryapet,Huzurnagar,Huzurnagar Municipality,12,495,547,0,1042,Nalgonda,,
2542,Suryapet,Huzurnagar,Huzurnagar Municipality,13,545,575,0,1120,Nalgonda,,
2543,Suryapet,Huzurnagar,Huzurnagar Municipality,14,454,552,2,1008,Nalgonda,,
2544,Suryapet,Huzurnagar,Huzurnagar Municipality,15,486,548,0,1034,Nalgonda,,
2545,Suryapet,Huzurnagar,Huzurnagar Municipality,16,491,548,0,1039,Nalgonda,,
2546,Suryapet,Huzurnagar,Huzurnagar Municipality,17,517,569,0,1086,Nalgonda,,
2547,Suryapet,Huzurnagar,Huzurnagar Municipality,18,512,548,0,1060,Nalgonda,,
2548,Suryapet,Huzurnagar,Huzurnagar Municipality,19,544,597,0,1141,Nalgonda,,
2549,Suryapet,Huzurnagar,Huzurnagar Municipality,20,503,556,0,1059,Nalgonda,,
2550,Suryapet,Huzurnagar,Huzurnagar Municipality,21,481,588,1,1070,Nalgonda,,
2551,Suryapet,Huzurnagar,Huzurnagar Municipality,22,513,519,0,1032,Nalgonda,,
2552,Suryapet,Huzurnagar,Huzurnagar Municipality,23,511,585,1,1097,Nalgonda,,
2553,Suryapet,Huzurnagar,Huzurnagar Municipality,24,501,593,0,1094,Nalgonda,,
2554,Suryapet,Huzurnagar,Huzurnagar Municipality,25,580,618,1,1199,Nalgonda,,
2555,Suryapet,Huzurnagar,Huzurnagar Municipality,26,566,585,0,1151,Nalgonda,,
2556,Suryapet,Huzurnagar,Huzurnagar Municipality,27,633,533,0,1166,Nalgonda,,
2557,Suryapet,Huzurnagar,Huzurnagar Municipality,28,523,617,0,1140,Nalgonda,,
2558,Suryapet,Kodad,Kodad Municipality,1,700,816,0,1516,Nalgonda,,
2559,Suryapet,Kodad,Kodad Municipality,2,963,1117,1,2081,Nalgonda,,
2560,Suryapet,Kodad,Kodad Municipality,3,792,876,0,1668,Nalgonda,,
2561,Suryapet,Kodad,Kodad Municipality,4,717,730,0,1447,Nalgonda,,
2562,Suryapet,Kodad,Kodad Municipality,5,806,878,0,1684,Nalgonda,,
2563,Suryapet,Kodad,Kodad Municipality,6,996,1053,0,2049,Nalgonda,,
2564,Suryapet,Kodad,Kodad Municipality,7,668,789,0,1457,Nalgonda,,
2565,Suryapet,Kodad,Kodad Municipality,8,775,831,0,1606,Nalgonda,,
2566,Suryapet,Kodad,Kodad Municipality,9,787,849,0,1636,Nalgonda,,
2567,Suryapet,Kodad,Kodad Municipality,10,781,808,0,1589,Nalgonda,,
2568,Suryapet,Kodad,Kodad Municipality,11,846,907,1,1754,Nalgonda,,
2569,Suryapet,Kodad,Kodad Municipality,12,767,750,0,1517,Nalgonda,,
2570,Suryapet,Kodad,Kodad Municipality,13,697,750,1,1448,Nalgonda,,
2571,Suryapet,Kodad,Kodad Municipality,14,789,846,0,1635,Nalgonda,,
2572,Suryapet,Kodad,Kodad Municipality,15,797,873,0,1670,Nalgonda,,
2573,Suryapet,Kodad,Kodad Municipality,16,635,675,0,1310,Nalgonda,,
2574,Suryapet,Kodad,Kodad Municipality,17,764,765,0,1529,Nalgonda,,
2575,Suryapet,Kodad,Kodad Municipality,18,1080,1132,0,2212,Nalgonda,,
2576,Suryapet,Kodad,Kodad Municipality,19,996,1042,1,2039,Nalgonda,,
2577,Suryapet,Kodad,Kodad Municipality,20,800,960,0,1760,Nalgonda,,
2578,Suryapet,Kodad,Kodad Municipality,21,841,897,0,1738,Nalgonda,,
2579,Suryapet,Kodad,Kodad Municipality,22,835,862,0,1697,Nalgonda,,
2580,Suryapet,Kodad,Kodad Municipality,23,750,756,0,1506,Nalgonda,,
2581,Suryapet,Kodad,Kodad Municipality,24,659,736,1,1396,Nalgonda,,
2582,Suryapet,Kodad,Kodad Municipality,25,741,837,2,1580,Nalgonda,,
2583,Suryapet,Kodad,Kodad Municipality,26,826,906,0,1732,Nalgonda,,
2584,Suryapet,Kodad,Kodad Municipality,27,827,896,0,1723,Nalgonda,,
2585,Suryapet,Kodad,Kodad Municipality,28,883,946,3,1832,Nalgonda,,
2586,Suryapet,Kodad,Kodad Municipality,29,683,823,0,1506,Nalgonda,,
2587,Suryapet,Kodad,Kodad Municipality,30,926,985,2,1913,Nalgonda,,
2588,Suryapet,Kodad,Kodad Municipality,31,953,1040,0,1993,Nalgonda,,
2589,Suryapet,Kodad,Kodad Municipality,32,726,790,0,1516,Nalgonda,,
2590,Suryapet,Kodad,Kodad Municipality,33,785,867,0,1652,Nalgonda,,
2591,Suryapet,Kodad,Kodad Municipality,34,773,917,0,1690,Nalgonda,,
2592,Suryapet,Kodad,Kodad Municipality,35,681,779,0,1460,Nalgonda,,
2593,Suryapet,Huzurnagar,Nereducherla Municipality,1,400,435,0,835,Nalgonda,,
2594,Suryapet,Huzurnagar,Nereducherla Municipality,2,415,474,0,889,Nalgonda,,
2595,Suryapet,Huzurnagar,Nereducherla Municipality,3,441,495,0,936,Nalgonda,,
2596,Suryapet,Huzurnagar,Nereducherla Municipality,4,398,489,0,887,Nalgonda,,
2597,Suryapet,Huzurnagar,Nereducherla Municipality,5,495,495,0,990,Nalgonda,,
2598,Suryapet,Huzurnagar,Nereducherla Municipality,6,479,503,0,982,Nalgonda,,
2599,Suryapet,Huzurnagar,Nereducherla Municipality,7,413,454,0,867,Nalgonda,,
2600,Suryapet,Huzurnagar,Nereducherla Municipality,8,468,487,0,955,Nalgonda,,
2601,Suryapet,Huzurnagar,Nereducherla Municipality,9,436,472,0,908,Nalgonda,,
2602,Suryapet,Huzurnagar,Nereducherla Municipality,10,461,475,0,936,Nalgonda,,
2603,Suryapet,Huzurnagar,Nereducherla Municipality,11,466,523,0,989,Nalgonda,,
2604,Suryapet,Huzurnagar,Nereducherla Municipality,12,463,425,0,888,Nalgonda,,
2605,Suryapet,Huzurnagar,Nereducherla Municipality,13,374,425,1,800,Nalgonda,,
2606,Suryapet,Huzurnagar,Nereducherla Municipality,14,464,511,0,975,Nalgonda,,
2607,Suryapet,Huzurnagar,Nereducherla Municipality,15,456,453,0,909,Nalgonda,,
2608,Suryapet,Suryapet,Suryapet Municipality,1,1281,1416,0,2697,Nalgonda,,
2609,Suryapet,Suryapet,Suryapet Municipality,2,1141,1163,0,2304,Nalgonda,,
2610,Suryapet,Suryapet,Suryapet Municipality,3,1161,1273,0,2434,Nalgonda,,
2611,Suryapet,Suryapet,Suryapet Municipality,4,1096,1190,8,2294,Nalgonda,,
2612,Suryapet,Suryapet,Suryapet Municipality,5,1076,1091,1,2168,Nalgonda,,
2613,Suryapet,Suryapet,Suryapet Municipality,6,1107,1183,0,2290,Nalgonda,,
2614,Suryapet,Suryapet,Suryapet Municipality,7,1028,1183,1,2212,Nalgonda,,
2615,Suryapet,Suryapet,Suryapet Municipality,8,1226,1365,0,2591,Nalgonda,,
2616,Suryapet,Suryapet,Suryapet Municipality,9,1115,1309,0,2424,Nalgonda,,
2617,Suryapet,Suryapet,Suryapet Municipality,10,1175,1185,0,2360,Nalgonda,,
2618,Suryapet,Suryapet,Suryapet Municipality,11,1108,1215,0,2323,Nalgonda,,
2619,Suryapet,Suryapet,Suryapet Municipality,12,1052,1105,0,2157,Nalgonda,,
2620,Suryapet,Suryapet,Suryapet Municipality,13,1509,1546,0,3055,Nalgonda,,
2621,Suryapet,Suryapet,Suryapet Municipality,14,1344,1389,1,2734,Nalgonda,,
2622,Suryapet,Suryapet,Suryapet Municipality,15,1324,1394,1,2719,Nalgonda,,
2623,Suryapet,Suryapet,Suryapet Municipality,16,1239,1272,0,2511,Nalgonda,,
2624,Suryapet,Suryapet,Suryapet Municipality,17,1157,1314,0,2471,Nalgonda,,
2625,Suryapet,Suryapet,Suryapet Municipality,18,1388,1467,0,2855,Nalgonda,,
2626,Suryapet,Suryapet,Suryapet Municipality,19,1389,1507,0,2896,Nalgonda,,
2627,Suryapet,Suryapet,Suryapet Municipality,20,1114,1243,0,2357,Nalgonda,,
2628,Suryapet,Suryapet,Suryapet Municipality,21,1181,1270,1,2452,Nalgonda,,
2629,Suryapet,Suryapet,Suryapet Municipality,22,979,1088,0,2067,Nalgonda,,
2630,Suryapet,Suryapet,Suryapet Municipality,23,1008,1189,0,2197,Nalgonda,,
2631,Suryapet,Suryapet,Suryapet Municipality,24,942,1036,0,1978,Nalgonda,,
2632,Suryapet,Suryapet,Suryapet Municipality,25,885,1015,0,1900,Nalgonda,,
2633,Suryapet,Suryapet,Suryapet Municipality,26,1092,1135,0,2227,Nalgonda,,
2634,Suryapet,Suryapet,Suryapet Municipality,27,1137,1174,0,2311,Nalgonda,,
2635,Suryapet,Suryapet,Suryapet Municipality,28,1184,1274,0,2458,Nalgonda,,
2636,Suryapet,Suryapet,Suryapet Municipality,29,1184,1281,0,2465,Nalgonda,,
2637,Suryapet,Suryapet,Suryapet Municipality,30,886,1020,0,1906,Nalgonda,,
2638,Suryapet,Suryapet,Suryapet Municipality,31,1107,1223,0,2330,Nalgonda,,
2639,Suryapet,Suryapet,Suryapet Municipality,32,976,1099,1,2076,Nalgonda,,
2640,Suryapet,Suryapet,Suryapet Municipality,33,1009,1082,0,2091,Nalgonda,,
2641,Suryapet,Suryapet,Suryapet Municipality,34,981,1072,0,2053,Nalgonda,,
2642,Suryapet,Suryapet,Suryapet Municipality,35,1248,1412,0,2660,Nalgonda,,
2643,Suryapet,Suryapet,Suryapet Municipality,36,1145,1226,0,2371,Nalgonda,,
2644,Suryapet,Suryapet,Suryapet Municipality,37,833,908,0,1741,Nalgonda,,
2645,Suryapet,Suryapet,Suryapet Municipality,38,1014,1101,0,2115,Nalgonda,,
2646,Suryapet,Suryapet,Suryapet Municipality,39,1004,1133,0,2137,Nalgonda,,
2647,Suryapet,Suryapet,Suryapet Municipality,40,1010,1178,0,2188,Nalgonda,,
2648,Suryapet,Suryapet,Suryapet Municipality,41,803,911,0,1714,Nalgonda,,
2649,Suryapet,Suryapet,Suryapet Municipality,42,868,923,0,1791,Nalgonda,,
2650,Suryapet,Suryapet,Suryapet Municipality,43,1033,1245,0,2278,Nalgonda,,
2651,Suryapet,Suryapet,Suryapet Municipality,44,1077,1092,0,2169,Nalgonda,,
2652,Suryapet,Suryapet,Suryapet Municipality,45,989,1009,0,1998,Nalgonda,,
2653,Suryapet,Suryapet,Suryapet Municipality,46,672,686,0,1358,Nalgonda,,
2654,Suryapet,Suryapet,Suryapet Municipality,47,911,1056,0,1967,Nalgonda,,
2655,Suryapet,Suryapet,Suryapet Municipality,48,982,1016,0,1998,Nalgonda,,
2656,Suryapet,Thungathurthi,Thirumalagiri Municipality,1,557,535,0,1092,Bhongir,,SC)
2657,Suryapet,Thungathurthi,Thirumalagiri Municipality,2,442,482,0,924,Bhongir,,SC)
2658,Suryapet,Thungathurthi,Thirumalagiri Municipality,3,593,629,0,1222,Bhongir,,SC)
2659,Suryapet,Thungathurthi,Thirumalagiri Municipality,4,543,560,0,1103,Bhongir,,SC)
2660,Suryapet,Thungathurthi,Thirumalagiri Municipality,5,674,655,0,1329,Bhongir,,SC)
2661,Suryapet,Thungathurthi,Thirumalagiri Municipality,6,498,531,0,1029,Bhongir,,SC)
2662,Suryapet,Thungathurthi,Thirumalagiri Municipality,7,585,565,0,1150,Bhongir,,SC)
2663,Suryapet,Thungathurthi,Thirumalagiri Municipality,8,493,488,0,981,Bhongir,,SC)
2664,Suryapet,Thungathurthi,Thirumalagiri Municipality,9,557,536,0,1093,Bhongir,,SC)
2665,Suryapet,Thungathurthi,Thirumalagiri Municipality,10,459,482,0,941,Bhongir,,SC)
2666,Suryapet,Thungathurthi,Thirumalagiri Municipality,11,492,497,0,989,Bhongir,,SC)
2667,Suryapet,Thungathurthi,Thirumalagiri Municipality,12,454,528,0,982,Bhongir,,SC)
2668,Suryapet,Thungathurthi,Thirumalagiri Municipality,13,470,490,0,960,Bhongir,,SC)
2669,Suryapet,Thungathurthi,Thirumalagiri Municipality,14,434,418,0,852,Bhongir,,SC)
2670,Suryapet,Thungathurthi,Thirumalagiri Municipality,15,387,421,0,808,Bhongir,,SC)
2671,Vikarabad,Kodangal,Kodangal Municipality,1,538,537,0,1075,Mahabubnagar,,
2672,Vikarabad,Kodangal,Kodangal Municipality,2,466,506,0,972,Mahabubnagar,,
2673,Vikarabad,Kodangal,Kodangal Municipality,3,479,494,0,973,Mahabubnagar,,
2674,Vikarabad,Kodangal,Kodangal Municipality,4,398,435,0,833,Mahabubnagar,,
2675,Vikarabad,Kodangal,Kodangal Municipality,5,416,427,0,843,Mahabubnagar,,
2676,Vikarabad,Kodangal,Kodangal Municipality,6,493,530,0,1023,Mahabubnagar,,
2677,Vikarabad,Kodangal,Kodangal Municipality,7,661,691,0,1352,Mahabubnagar,,
2678,Vikarabad,Kodangal,Kodangal Municipality,8,439,527,0,966,Mahabubnagar,,
2679,Vikarabad,Kodangal,Kodangal Municipality,9,465,476,0,941,Mahabubnagar,,
2680,Vikarabad,Kodangal,Kodangal Municipality,10,413,456,0,869,Mahabubnagar,,
2681,Vikarabad,Kodangal,Kodangal Municipality,11,460,468,0,928,Mahabubnagar,,
2682,Vikarabad,Kodangal,Kodangal Municipality,12,382,408,0,790,Mahabubnagar,,
2683,Vikarabad,Pargi,Parigi Municipality,1,831,807,0,1638,Chevella,,
2684,Vikarabad,Pargi,Parigi Municipality,2,738,752,0,1490,Chevella,,
2685,Vikarabad,Pargi,Parigi Municipality,3,678,716,0,1394,Chevella,,
2686,Vikarabad,Pargi,Parigi Municipality,4,699,660,0,1359,Chevella,,
2687,Vikarabad,Pargi,Parigi Municipality,5,758,682,0,1440,Chevella,,
2688,Vikarabad,Pargi,Parigi Municipality,6,646,669,0,1315,Chevella,,
2689,Vikarabad,Pargi,Parigi Municipality,7,802,838,0,1640,Chevella,,
2690,Vikarabad,Pargi,Parigi Municipality,8,788,790,0,1578,Chevella,,
2691,Vikarabad,Pargi,Parigi Municipality,9,789,846,0,1635,Chevella,,
2692,Vikarabad,Pargi,Parigi Municipality,10,708,708,0,1416,Chevella,,
2693,Vikarabad,Pargi,Parigi Municipality,11,691,707,0,1398,Chevella,,
2694,Vikarabad,Pargi,Parigi Municipality,12,768,752,0,1520,Chevella,,
2695,Vikarabad,Pargi,Parigi Municipality,13,1085,1042,0,2127,Chevella,,
2696,Vikarabad,Pargi,Parigi Municipality,14,714,670,0,1384,Chevella,,
2697,Vikarabad,Pargi,Parigi Municipality,15,669,717,0,1386,Chevella,,
2698,Vikarabad,Pargi,Parigi Municipality,16,798,837,0,1635,Chevella,,
2699,Vikarabad,Pargi,Parigi Municipality,17,816,718,0,1534,Chevella,,
2700,Vikarabad,Pargi,Parigi Municipality,18,837,874,0,1711,Chevella,,
2701,Vikarabad,Tandur,Tandur Municipality,1,899,982,0,1881,Chevella,,
2702,Vikarabad,Tandur,Tandur Municipality,2,803,932,3,1738,Chevella,,
2703,Vikarabad,Tandur,Tandur Municipality,3,996,1093,0,2089,Chevella,,
2704,Vikarabad,Tandur,Tandur Municipality,4,1407,1399,0,2806,Chevella,,
2705,Vikarabad,Tandur,Tandur Municipality,5,944,991,0,1935,Chevella,,
2706,Vikarabad,Tandur,Tandur Municipality,6,1027,1144,0,2171,Chevella,,
2707,Vikarabad,Tandur,Tandur Municipality,7,1466,1496,0,2962,Chevella,,
2708,Vikarabad,Tandur,Tandur Municipality,8,1507,1743,0,3250,Chevella,,
2709,Vikarabad,Tandur,Tandur Municipality,9,1260,1333,0,2593,Chevella,,
2710,Vikarabad,Tandur,Tandur Municipality,10,1056,1151,0,2207,Chevella,,
2711,Vikarabad,Tandur,Tandur Municipality,11,1150,1123,0,2273,Chevella,,
2712,Vikarabad,Tandur,Tandur Municipality,12,984,898,0,1882,Chevella,,
2713,Vikarabad,Tandur,Tandur Municipality,13,1228,1257,1,2486,Chevella,,
2714,Vikarabad,Tandur,Tandur Municipality,14,1234,1394,0,2628,Chevella,,
2715,Vikarabad,Tandur,Tandur Municipality,15,987,1088,0,2075,Chevella,,
2716,Vikarabad,Tandur,Tandur Municipality,16,925,1009,0,1934,Chevella,,
2717,Vikarabad,Tandur,Tandur Municipality,17,1430,1501,0,2931,Chevella,,
2718,Vikarabad,Tandur,Tandur Municipality,18,1054,1090,0,2144,Chevella,,
2719,Vikarabad,Tandur,Tandur Municipality,19,998,1136,0,2134,Chevella,,
2720,Vikarabad,Tandur,Tandur Municipality,20,1003,1076,0,2079,Chevella,,
2721,Vikarabad,Tandur,Tandur Municipality,21,825,844,0,1669,Chevella,,
2722,Vikarabad,Tandur,Tandur Municipality,22,951,1016,1,1968,Chevella,,
2723,Vikarabad,Tandur,Tandur Municipality,23,1182,1217,0,2399,Chevella,,
2724,Vikarabad,Tandur,Tandur Municipality,24,1079,1116,0,2195,Chevella,,
2725,Vikarabad,Tandur,Tandur Municipality,25,992,1089,0,2081,Chevella,,
2726,Vikarabad,Tandur,Tandur Municipality,26,917,950,0,1867,Chevella,,
2727,Vikarabad,Tandur,Tandur Municipality,27,890,869,0,1759,Chevella,,
2728,Vikarabad,Tandur,Tandur Municipality,28,961,927,0,1888,Chevella,,
2729,Vikarabad,Tandur,Tandur Municipality,29,961,981,0,1942,Chevella,,
2730,Vikarabad,Tandur,Tandur Municipality,30,832,908,0,1740,Chevella,,
2731,Vikarabad,Tandur,Tandur Municipality,31,916,949,0,1865,Chevella,,
2732,Vikarabad,Tandur,Tandur Municipality,32,1027,1031,0,2058,Chevella,,
2733,Vikarabad,Tandur,Tandur Municipality,33,921,958,0,1879,Chevella,,
2734,Vikarabad,Tandur,Tandur Municipality,34,977,1026,0,2003,Chevella,,
2735,Vikarabad,Tandur,Tandur Municipality,35,900,896,0,1796,Chevella,,
2736,Vikarabad,Tandur,Tandur Municipality,36,810,912,0,1722,Chevella,,
2737,Vikarabad,Vikarabad,Vikarabad Municipality,1,808,876,0,1684,Chevella,,SC)
2738,Vikarabad,Vikarabad,Vikarabad Municipality,2,801,786,0,1587,Chevella,,SC)
