S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
135	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Nakkalwada
136	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Nigini
137	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Patnapur	504304
138	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Pippaldhari
139	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Pochera	504304
140	Adilabad	Telangana	Adilabad	Boath (ST)	Boath	Sangvi
141	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Akoli
142	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Balapur
143	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Bhoraj
144	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Gimma (K)
145	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Guda
146	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Hashimpur
147	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Kamai
148	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Korta
149	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Lekarwada
150	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Mandagada
151	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Pendalwada
152	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Pipparawada
153	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Poosai
154	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Rampur-T
155	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Sawapoor
156	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Sirsanna
157	Adilabad	Telangana	Adilabad	Adilabad	Bhoraj	Taroda B
158	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Admiyan
159	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Arjuni
160	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Boddiguda G
161	Adilabad	Telangana	Adilabad	Asifabad (ST)	Gadiguda	Dhaba B
